Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
2001-10-19,19235.11251,
2001-10-26,19153.64984,
2001-11-02,18580.7003,
2001-11-09,16093.74941,
2001-11-16,15385.41887,
2001-11-23,15216.22991,
2001-11-30,13648.5775,
2001-12-07,13584.37293,
2001-12-14,12887.75864,
2001-12-21,12820.53239,
2001-12-28,13021.43138,
2002-01-04,12232.15258,
2002-01-11,12433.31303,
2002-01-18,12488.06707,
2002-01-25,12227.14904,
2002-02-01,12697.40646,
2002-02-08,13365.68611,
2002-02-15,13249.80036,
2002-02-22,13259.11498,
2002-03-01,12998.15935,
2002-03-08,12824.2221,
2002-03-15,12769.4013,
2002-03-22,12858.64052,
2002-03-29,13011.26744,
2002-04-05,13104.64015,
2002-04-12,13563.10176,
2002-04-19,13440.96383,
2002-04-26,14377.7387,
2002-05-03,13697.52458,
2002-05-10,14011.50512,
2002-05-17,13958.68041,
2002-05-24,14354.75701,
2002-05-31,14133.77213,
2002-06-07,14094.51252,
2002-06-14,14244.90612,
2002-06-21,14004.06064,
2002-06-28,13740.87931,
2002-07-05,13829.61977,
2002-07-12,13636.41852,
2002-07-19,13856.49549,
2002-07-26,13961.05236,
2002-08-02,13407.58596,
2002-08-09,13374.92372,
2002-08-16,13127.46803,
2002-08-23,12920.7943,
2002-08-30,12481.53119,
2002-09-06,12208.16656,
2002-09-13,11646.60854,
2002-09-20,11346.662,
2002-09-27,10964.6727,
2002-10-04,10742.86797,
2002-10-11,11354.95391,
2002-10-18,11750.52632,
2002-10-25,12830.57007,
2002-11-01,13068.83325,
2002-11-08,13454.88576,
2002-11-15,13993.76685,
2002-11-22,15232.37859,
2002-11-29,17252.58047,
2002-12-06,20536.66809,
2002-12-13,23013.06235,
2002-12-20,24142.37637,
2002-12-27,23959.06003,
2003-01-03,23243.10238,
2003-01-10,23403.53822,
2003-01-17,22897.43267,
2003-01-24,22623.49493,
2003-01-31,22537.29182,
2003-02-07,22867.58144,
2003-02-14,23840.90909,
2003-02-21,27320.91937,
2003-02-28,27479.16755,
2003-03-07,29589.45262,
2003-03-14,31918.59728,
2003-03-21,36630.5145,
2003-03-28,36554.54439,
2003-04-04,33618.79724,
2003-04-11,32498.54481,
2003-04-18,31855.00067,
2003-04-25,29129.60818,
2003-05-02,25687.27494,
2003-05-09,23103.67088,
2003-05-16,21281.8761,
2003-05-23,20652.82431,
2003-05-30,18893.89418,
2003-06-06,17584.043,
2003-06-13,15391.79734,
2003-06-20,15447.98205,
2003-06-27,16130.17467,
2003-07-04,16988.48739,
2003-07-11,18396.05803,
2003-07-18,19704.8415,
2003-07-25,21969.89754,
2003-08-01,21828.77208,
2003-08-08,20743.75725,
2003-08-15,20450.45911,
2003-08-22,20022.47341,
2003-08-29,19483.11335,
2003-09-05,18399.92001,
2003-09-12,17079.24606,
2003-09-19,16241.47581,
2003-09-26,15719.87238,
2003-10-03,14390.04461,
2003-10-10,13223.61035,
2003-10-17,13827.23232,
2003-10-24,14770.96727,
2003-10-31,16687.17803,
2003-11-07,16934.80475,
2003-11-14,17981.15593,
2003-11-21,19868.49562,
2003-11-28,19674.6514,
2003-12-05,21463.02635,
2003-12-12,22463.12283,
2003-12-19,23128.017,
2003-12-26,23552.33156,
2004-01-02,26105.36174,
2004-01-09,26924.89598,
2004-01-16,28664.37577,
2004-01-23,31574.46167,
2004-01-30,34061.32096,
2004-02-06,35684.00972,
2004-02-13,37444.50034,
2004-02-20,37424.64686,
2004-02-27,37284.54186,
2004-03-05,37638.50831,
2004-03-12,36806.6379,
2004-03-19,32915.60361,
2004-03-26,29278.74961,
2004-04-02,25243.59013,
2004-04-09,21084.97366,
2004-04-16,19186.09595,
2004-04-23,20803.74347,
2004-04-30,21917.23637,
2004-05-07,21017.71888,
2004-05-14,21482.09447,
2004-05-21,23579.52536,
2004-05-28,25296.26515,
2004-06-04,26332.71055,
2004-06-11,26756.8964,
2004-06-18,27159.66563,
2004-06-25,26920.51786,
2004-07-02,26990.51763,
2004-07-09,25779.4003,
2004-07-16,24908.20202,
2004-07-23,23243.19073,
2004-07-30,21944.56668,
2004-08-06,21030.07552,
2004-08-13,20707.91309,
2004-08-20,21451.25849,
2004-08-27,22372.1902,
2004-09-03,22760.63234,
2004-09-10,22485.18725,
2004-09-17,22477.71399,
2004-09-24,22988.15089,
2004-10-01,23357.04169,
2004-10-08,23661.34688,
2004-10-15,27105.34516,
2004-10-22,35700.10369,
2004-10-29,43243.9288,
2004-11-05,43595.04391,
2004-11-12,44013.3703,
2004-11-19,43828.22132,
2004-11-26,47090.09151,
2004-12-03,47657.90962,
2004-12-10,45857.30364,
2004-12-17,43850.82751,
2004-12-24,40259.32544,
2004-12-31,39897.55916,
2005-01-07,36930.94904,
2005-01-14,37329.30475,
2005-01-21,36191.11964,
2005-01-28,34325.51489,
2005-02-04,33264.47083,
2005-02-11,31411.45329,
2005-02-18,30046.24745,
2005-02-25,31828.63728,
2005-03-04,33277.68841,
2005-03-11,33440.60615,
2005-03-18,34600.08302,
2005-03-25,33045.70218,
2005-04-01,30234.99455,
2005-04-08,27663.00811,
2005-04-15,27925.55015,
2005-04-22,28079.51016,
2005-04-29,27861.05381,
2005-05-06,26366.03811,
2005-05-13,25556.45096,
2005-05-20,24827.32578,
2005-05-27,24610.60644,
2005-06-03,23230.77777,
2005-06-10,23444.15206,
2005-06-17,23982.71644,
2005-06-24,24883.46049,
2005-07-01,27424.45844,
2005-07-08,26680.74766,
2005-07-15,24790.23854,
2005-07-22,22216.03627,
2005-07-29,21867.11693,
2005-08-05,19057.77511,
2005-08-12,19032.97776,
2005-08-19,21586.10844,
2005-08-26,22533.1035,
2005-09-02,27470.95405,
2005-09-09,38574.16659,
2005-09-16,39338.2653,
2005-09-23,38511.43088,
2005-09-30,39940.20348,
2005-10-07,44145.01119,
2005-10-14,46112.60938,
2005-10-21,48207.64465,
2005-10-28,49176.58295,
2005-11-04,46656.78709,
2005-11-11,40310.92172,
2005-11-18,34777.47715,
2005-11-25,34241.62748,
2005-12-02,31394.55695,
2005-12-09,29622.05653,
2005-12-16,33836.72439,
2005-12-23,39363.94334,
2005-12-30,39301.53416,
2006-01-06,46749.73916,
2006-01-13,49273.40408,
2006-01-20,47481.25358,
2006-01-27,43858.20164,
2006-02-03,39127.39435,
2006-02-10,36181.24767,
2006-02-17,30371.33383,
2006-02-24,28077.64639,
